2021-02-12 15:53:08.370 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(178) - Start==>
2021-02-12 15:53:08.416 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(88) - xmlFileName=Casimira119_Windler79_31c720b6-2a53-4a9e-8e99-8f0a85404661.xml
2021-02-12 15:53:15.609 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4MSwitch(137) - birthTime==>Patient.birthTime=19790513052907
2021-02-12 15:53:15.636 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(99) - before=287
2021-02-12 15:53:15.636 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(100) - after=182
2021-02-12 15:53:15.636 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(101) - delta=105
2021-02-12 15:53:15.638 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - id:31c720b6-2a53-4a9e-8e99-8f0a85404661
2021-02-12 15:53:15.638 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - effectiveTime:20201101042907
2021-02-12 15:53:15.638 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - code:34133-9
2021-02-12 15:53:15.638 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - codeSystem:LOINC
2021-02-12 15:53:15.639 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - codeDisplay:Summarization_of_episode_note
2021-02-12 15:53:15.639 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - code:en-US
2021-02-12 15:53:15.639 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.title:Surgeries
2021-02-12 15:53:15.639 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.code:47519-4
2021-02-12 15:53:15.639 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.codeSystem:LOINC
2021-02-12 15:53:15.639 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.codeDisplay:List_of_surgeries
2021-02-12 15:53:15.639 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.Procedure.code:252160004
2021-02-12 15:53:15.639 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.Procedure.codeDisplay:Standard_pregnancy_test
2021-02-12 15:53:15.639 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.Procedure.effectiveTime:20130303042907
2021-02-12 15:53:15.639 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.Procedure.code:completed
2021-02-12 15:53:15.640 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.Procedure.text:#procedures-desc-1
2021-02-12 15:53:15.640 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.Procedure.code:169230002
2021-02-12 15:53:15.640 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.Procedure.codeDisplay:Ultrasound_scan_for_fetal_viability
2021-02-12 15:53:15.640 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.Procedure.text:#procedures-desc-2
2021-02-12 15:53:15.640 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.Procedure.code:5880005
2021-02-12 15:53:15.640 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.Procedure.codeDisplay:Physical_examination
2021-02-12 15:53:15.640 [main] INFO  gov.cdc.dhcp.hehr.dcp.cda2d4m.CDA2D4M(110) - Section.Procedure.effectiveTime:20130310052907
